,Long ID,Short ID,Entry time,Exit time,Entry Price,Exit Price,Signal,Long Quantity,Short Quantity,RSI,ATR,Change in PnL,PnL,Remarks,Cash
47,,24,2024-04-25 12:00:00+00:00,2024-05-03 22:00:00+00:00,63849.2109375,62774.14453125,Short,,7.434992701313715,18.919252985938446,982.9686920232162,7993.1108838963155,407837.59987587784,Exit Short Algo,482236.80977154366
48,25,,2024-05-03 22:00:00+00:00,2024-05-09 09:00:00+00:00,62774.14453125,61287.69140625,Long,7.674410803351478,,68.28136578193804,1719.2096028919843,-11407.651921175564,396429.9479547023,Exit Long Algo,469865.1664676348
49,,25,2024-05-09 09:00:00+00:00,2024-05-13 16:00:00+00:00,61287.69140625,62996.08203125,Short,,7.658883709450658,16.58480875117763,708.2840892442033,-13084.365127190727,383345.5828275116,Exit Short Algo,455841.5408726753
50,26,,2024-05-13 16:00:00+00:00,2024-05-24 08:00:00+00:00,62996.08203125,67145.0546875,Long,7.228793992393095,,69.61382458433908,984.9117078417762,29992.068612103223,413337.6514396148,Exit Long Algo,484922.382244574
51,,26,2024-05-24 08:00:00+00:00,2024-06-03 12:00:00+00:00,67145.0546875,69065.0234375,Short,,7.214789862290697,22.55330249137818,1015.6491119058657,-13852.171073414942,399485.48036619986,Exit Short Algo,470100.8513290522
52,27,,2024-06-03 12:00:00+00:00,2024-06-09 02:00:00+00:00,69065.0234375,69274.2890625,Long,6.799834809333161,,74.96995369175382,733.7119225511168,1422.9716812718598,400908.4520474717,Exit Long Algo,470584.09140851727
53,,27,2024-06-09 02:00:00+00:00,2024-06-30 23:00:00+00:00,69274.2890625,62800.87109375,Short,,6.786262460131021,22.27640530329943,306.7873834608046,43930.313350065735,444838.76539753744,Exit Short Algo,513573.7071598574
54,28,,2024-06-30 23:00:00+00:00,2024-07-03 11:00:00+00:00,62800.87109375,60288.05078125,Long,8.169634027636247,,69.043745968219,682.6633453743765,-20528.822330335548,424309.9430672019,Exit Long Algo,492018.2509889093
55,,28,2024-07-03 11:00:00+00:00,2024-07-10 05:00:00+00:00,60288.05078125,59323.38671875,Short,,8.152962757435647,27.605056716258535,993.1664535562705,7864.870174999073,432174.81324220094,Exit Short Algo,498899.5766801815
56,29,,2024-07-10 05:00:00+00:00,2024-07-30 23:00:00+00:00,59323.38671875,66200.4609375,Long,8.401419822276846,,68.58213869000154,800.5329123537158,57777.18766067531,489952.00090287626,Exit Long Algo,555679.4640870731
57,,29,2024-07-30 23:00:00+00:00,2024-08-08 21:00:00+00:00,66200.4609375,59550.6015625,Short,,8.38549727239935,26.384393507641736,830.1218876811594,55762.37765090175,545714.378553778,Exit Short Algo,610331.0384892648
58,30,,2024-08-08 21:00:00+00:00,2024-08-27 16:00:00+00:00,59550.6015625,61680.55078125,Long,10.238699382589054,,69.0316003896788,1965.3154920906197,21807.909750961662,567522.2883047397,Exit Long Algo,630918.8964942865
59,,30,2024-08-27 16:00:00+00:00,2024-09-09 20:00:00+00:00,61680.55078125,57142.5703125,Short,,10.21858543113708,26.522815243268038,760.0865923183396,46371.74110475337,613894.0294094931,Exit Short Algo,676029.4307249477
60,31,,2024-09-09 20:00:00+00:00,2024-09-16 18:00:00+00:00,57142.5703125,58170.34375,Long,11.818743847202976,,68.47363164346727,977.2165708890393,12146.990990771777,626041.0204002649,Exit Long Algo,686825.0388837004
61,,31,2024-09-16 18:00:00+00:00,2024-09-18 01:00:00+00:00,58170.34375,60242.94921875,Short,,11.795326787024818,27.57246319460102,862.4192377432718,-24447.058804481003,601593.9615957838,Exit Short Algo,661005.0168264908
62,32,,2024-09-18 01:00:00+00:00,2024-09-30 20:00:00+00:00,60242.94921875,63453.49609375,Long,10.961349342507605,,68.8243660599871,1128.4228399586766,35191.9258773711,636785.8874731549,Exit Long Algo,694875.5936752257
63,,32,2024-09-30 20:00:00+00:00,2024-10-03 23:00:00+00:00,63453.49609375,60746.625,Short,,10.93999166028498,15.205960397165901,955.4955697327068,29613.14719109148,666399.0346642464,Exit Short (End of Data),723099.6845545605
